Date,Close,High,Low,Open,Volume,SMA_20,EMA_20,EMA_12,EMA_26,MACD,Signal_Line
2023-02-21,17826.69921875,17924.900390625,17800.30078125,17905.80078125,198200,17824.10732421875,17885.903314658026,17879.172749653233,17902.341482814638,-23.168733161404816,-43.275908081285706
2023-02-22,17554.30078125,17772.5,17529.44921875,17755.349609375,204000,17795.90732421875,17854.32212100012,17829.192446821966,17876.560690106147,-47.36824328418152,-44.09437512186487
2023-02-23,17511.25,17620.05078125,17455.400390625,17574.650390625,240800,17776.87236328125,17821.648585666775,17780.27822423397,17849.50063898717,-69.2224147531997,-49.11998304813184
2023-02-24,17465.80078125,17599.75,17421.80078125,17591.349609375,209400,17769.944921875,17787.75831857946,17731.897079159513,17821.078427302935,-89.18134814342193,-57.13225606718987
2023-02-27,17392.69921875,17451.599609375,17299.0,17428.599609375,246400,17757.132421875,17750.133642405228,17679.712792942664,17789.34663407679,-109.63384113412758,-67.63257308057742
2023-02-28,17303.94921875,17440.44921875,17255.19921875,17383.25,420900,17739.22236328125,17707.6398877714,17621.90301229764,17753.39126997851,-131.48825768087045,-80.40371000063602
2023-03-01,17450.900390625,17467.75,17345.25,17360.099609375,272900,17730.95234375,17683.18850709079,17595.594916655697,17730.984538174547,-135.38962151885062,-91.40089230427895
2023-03-02,17321.900390625,17445.80078125,17306.0,17421.5,310700,17716.52734375,17648.780115046426,17553.488066497128,17700.682008726435,-147.19394222930714,-102.5595022892846
2023-03-03,17594.349609375,17644.75,17427.69921875,17451.25,356200,17703.54228515625,17643.59625736343,17559.774457709107,17692.805534700405,-133.0310769912976,-108.6538172296872
2023-03-06,17711.44921875,17799.94921875,17671.94921875,17680.349609375,362800,17700.884765625,17650.058444162154,17583.10903633078,17694.18654833371,-111.07751200292842,-109.13855618433544
2023-03-08,17754.400390625,17766.5,17602.25,17665.75,267000,17702.52978515625,17659.995772396713,17609.461552376044,17698.64683294788,-89.18528057183721,-105.1479010618358
2023-03-09,17589.599609375,17772.349609375,17573.599609375,17772.05078125,262400,17688.4248046875,17653.291375918456,17606.40586883742,17690.569260831373,-84.16339199395225,-100.9509992482591
2023-03-10,17412.900390625,17451.5,17324.349609375,17443.80078125,235900,17664.39736328125,17630.3969963667,17576.63579526628,17670.001196371642,-93.36540110536225,-99.43387961967973
2023-03-13,17154.30078125,17529.900390625,17113.44921875,17421.900390625,254900,17629.28740234375,17585.05449968892,17511.661177725313,17631.80116562189,-120.13998789657853,-103.5751012750595
2023-03-14,17043.30078125,17224.650390625,16987.099609375,17160.55078125,290600,17592.907421875,17533.45890745664,17439.605732113727,17588.208544557307,-148.60281244357975,-112.58064350876356
2023-03-15,16972.150390625,17211.349609375,16938.900390625,17166.44921875,248200,17545.0224609375,17480.000953472674,17367.689525730846,17542.574607228988,-174.88508149814152,-125.04153110663916
2023-03-16,16985.599609375,17062.44921875,16850.150390625,16994.650390625,349800,17493.5099609375,17432.91511117766,17308.9064616761,17501.317199980545,-192.41073830444657,-138.51537254620064
2023-03-17,17100.05078125,17145.80078125,16958.150390625,17111.80078125,408100,17446.72001953125,17401.213746422643,17276.774818533624,17471.59376155606,-194.81894302243745,-149.776086641448
2023-03-20,16988.400390625,17066.599609375,16828.349609375,17066.599609375,241800,17398.930078125,17361.898188727628,17232.409521932295,17435.801660005614,-203.39213807331907,-160.49929692782223
2023-03-21,17107.5,17127.69921875,17016.0,17060.400390625,246700,17362.07509765625,17337.669789801188,17213.19267240425,17411.483018523715,-198.29034611946554,-168.0575067661509
2023-03-22,17151.900390625,17207.25,17107.849609375,17177.44921875,0,17328.33515625,17319.977466070122,17203.76309059206,17392.254675716402,-188.49158512434224,-172.14432243778919
2023-03-23,17076.900390625,17205.400390625,17045.30078125,17097.400390625,219200,17304.46513671875,17296.827268408684,17184.24575213559,17368.895099042966,-184.64934690737573,-174.6453273317065
2023-03-24,16945.05078125,17109.44921875,16917.349609375,17076.19921875,228000,17276.15517578125,17263.32474582214,17147.4465258455,17337.49922365089,-190.0526978053931,-177.72680142644384
2023-03-27,16985.69921875,17091.0,16918.55078125,16984.30078125,218400,17252.15009765625,17236.884219434316,17122.562324753882,17311.439964028603,-188.87763927472042,-179.9569689960992
2023-03-28,16951.69921875,17061.75,16913.75,17031.75,238800,17230.10009765625,17209.723743178667,17096.275693060976,17284.792501415373,-188.51680835439765,-181.6689368677589
2023-03-29,17080.69921875,17126.150390625,16940.599609375,16977.30078125,345900,17218.93759765625,17197.43569323308,17093.87931239775,17269.6744804772,-175.79516807945038,-180.4941831100972
2023-03-31,17359.75,17381.599609375,17204.650390625,17210.349609375,263900,17214.380078125,17212.894198639453,17134.782495105785,17276.34674118259,-141.56424607680674,-172.70819570343912
